campo_padronizado,unidade
ac_pantotenico_b5_mg_100g,mg/100g
acucares_totais_g_100g,g/100g
amido_g_100g,g/100g
beta_caroteno_ug_100g,µg/100g
calcio_mg_100g,mg/100g
carboidratos_g_100g,g/100g
cinzas_g_100g,g/100g
cloreto_mg_100g,mg/100g
cobalamina_b12_ug_100g,µg/100g
cobre_mg_100g,mg/100g
colesterol_mg_100g,mg/100g
energia_kcal_100g,kcal/100g
energia_kj_100g,kJ/100g
ferro_mg_100g,mg/100g
fibra_alimentar_g_100g,g/100g
folato_b9_ug_100g,µg/100g
fosforo_mg_100g,mg/100g
iodo_ug_100g,µg/100g
lipidios_g_100g,g/100g
magnesio_mg_100g,mg/100g
manganes_mg_100g,mg/100g
niacina_b3_mg_100g,mg/100g
piridoxina_b6_mg_100g,mg/100g
potassio_mg_100g,mg/100g
proteina_g_100g,g/100g
retinol_ug_100g,µg/100g
riboflavina_b2_mg_100g,mg/100g
selenio_ug_100g,µg/100g
sodio_mg_100g,mg/100g
tiamina_b1_mg_100g,mg/100g
umidade_g_100g,g/100g
vitamina_c_mg_100g,mg/100g
vitamina_d_ug_100g,µg/100g
vitamina_e_mg_100g,mg/100g
vitamina_k1_ug_100g,µg/100g
vitamina_k2_ug_100g,µg/100g
zinco_mg_100g,mg/100g
